celebrity_name,season,start_date,end_date,suggested_queries
Chris Mazdzer,26,2018-09-24,2018-11-19,"Chris Mazdzer, Chris Mazdzer, Chris Mazdzer"
Scott Hoying,34,2025-03-04,2025-05-20,"Scott Hoying, Scott Hoying, Scott Hoying"
