season,week,mean_ci_width,mean_cv,n_contestants,ci_width_rank_pct
1,1,0.024015458874488,0.03911564495709868,6,0.2208955223880597
1,2,0.02097796001465672,0.033635040527700714,6,0.21791044776119403
1,3,0.01852498495372104,0.0249047980967853,5,0.21492537313432836
1,4,0.03014252342822115,0.03255185387568017,4,0.28955223880597014
1,5,0.035139016692221366,0.0295550731215376,3,0.3880597014925373
1,6,0.06679675574190425,0.0347694383769318,2,0.826865671641791
2,1,0.01650202055242668,0.041642098049867335,10,0.21194029850746268
2,2,0.012507563635673779,0.03219315507210711,9,0.19701492537313434
2,3,0.010246329936734787,0.021767952530689187,8,0.16716417910447762
2,4,0.007834956739279343,0.015044061457304886,7,0.11940298507462686
2,5,0.01168867724691045,0.019882251069591284,6,0.19402985074626866
2,6,0.01282325122100184,0.01818529371985254,5,0.20298507462686566
2,7,0.0138676674588909,0.01529175630558475,4,0.208955223880597
2,8,0.046122903449755864,0.03607697682077613,3,0.6119402985074627
3,1,0.03537894234530575,0.10197701966436293,11,0.4
3,2,0.04132593843594913,0.10633306685521533,10,0.5164179104477612
3,3,0.044190527836277686,0.10452231739757151,9,0.573134328358209
3,4,0.04955353685852388,0.10472262795041776,8,0.6776119402985075
3,5,0.05604434177653893,0.10203704645192031,7,0.746268656716418
3,6,0.06989019984759201,0.09454831458810574,5,0.844776119402985
3,7,0.06659307361522329,0.09158691260713421,5,0.8208955223880597
3,8,0.08112462938120465,0.089774166833632,4,0.8955223880597015
3,9,0.1072636738463963,0.09006550079964137,3,0.9701492537313433
3,10,0.1499867872928639,0.07734305411476519,2,1.0
4,1,0.033477897523088836,0.09944736797216626,11,0.34626865671641793
4,2,0.03576625550861345,0.10555349500649203,11,0.41194029850746267
4,3,0.040000733593322305,0.10688028112938949,10,0.48656716417910445
4,4,0.04533423576993371,0.10629316609934504,9,0.6029850746268657
4,5,0.05018656740348933,0.10620180315611741,8,0.6835820895522388
4,6,0.054771687896369894,0.10506137516048812,7,0.7343283582089553
4,7,0.0611840438622834,0.1015641792283139,6,0.8
4,8,0.07088593767703394,0.09911731860113085,5,0.8507462686567164
4,9,0.08354824534625326,0.09543448729359448,4,0.9044776119402985
4,10,0.10168947443690113,0.0866932104037782,3,0.9582089552238806
5,1,0.03180690520894535,0.10090303628602763,12,0.3164179104477612
5,2,0.036154036006776864,0.10403902670899781,11,0.4208955223880597
5,3,0.04061345599058845,0.1047701258463273,10,0.5044776119402985
5,4,0.04378301076756466,0.10244972477754655,9,0.5611940298507463
5,5,0.04834652759988042,0.09951015949952312,8,0.6477611940298508
5,6,0.053055728992469096,0.09680906657158365,7,0.7044776119402985
5,7,0.05674607919177808,0.09111869904565738,6,0.7522388059701492
5,8,0.0666858141570016,0.08816161875192093,5,0.8238805970149253
5,9,0.07969317936630577,0.08476975535890639,4,0.8895522388059701
5,10,0.101097122244773,0.08094476997302767,3,0.9552238805970149
6,1,0.03239679889029734,0.1010045403358697,12,0.33134328358208953
