rule_type,week,n_points,mean_W,median_W,p25_W,p75_W
R2_Percent,1,10,0.04119340881317791,0.04071860979682235,0.0398652370874356,0.041794385906421226
R2_Percent,2,10,0.04876300121202394,0.04879081480859465,0.04786031795077896,0.049470213703323926
R2_Percent,3,10,0.056537147341700976,0.055681975724997446,0.0540509051735858,0.058318271253543025
R2_Percent,4,10,0.06442946237968813,0.0642910815637304,0.0611762668095625,0.0669943133328027
R2_Percent,5,10,0.07123194648028226,0.07066770843861256,0.0694922155438952,0.07268751364389425
R2_Percent,6,10,0.07889528212197469,0.07735688264010665,0.07486141871058208,0.08099254109986789
R2_Percent,7,10,0.08579784927670342,0.08471676654424035,0.08293537161950568,0.08729173147674331
R2_Percent,8,10,0.09690143490199317,0.09600391307293155,0.09189404452411387,0.10030792546505751
R2_Percent,9,10,0.10807386949373503,0.1081091613768915,0.10235320571589449,0.11191989346606628
R2_Percent,10,10,0.12052432832936502,0.11806592875725935,0.11050379557172996,0.1269075086090783
R2_Percent,11,1,0.1149866449104126,0.1149866449104126,0.1149866449104126,0.1149866449104126
R3_Bottom2,1,10,0.00753621760432519,0.008976468549051899,0.0055425376287443,0.009760307656466976
R3_Bottom2,2,10,0.00382047571855028,0.00348272688098125,0.002973461074543225,0.0045164243697061995
R3_Bottom2,3,10,0.00358896246771397,0.00350658876465745,0.003185236165857175,0.003778594462274425
R3_Bottom2,4,10,0.00408880712238997,0.004247644448663801,0.00361906101714495,0.0043872693146749745
R3_Bottom2,5,10,0.00465762221820667,0.0046719104100946506,0.004145476196773175,0.0050248139949025
R3_Bottom2,6,9,0.005808895473255633,0.0066528656816255,0.0041442654958821,0.006786898323435
R3_Bottom2,7,9,0.006804870154049011,0.0070744265491141,0.0045563127890163,0.0083755486178053
R3_Bottom2,8,7,0.0064625737246836,0.0053181152341608,0.00498527557260035,0.007984249474818749
R3_Bottom2,9,5,0.009347145760915521,0.0071040637495922,0.0064681958143412,0.0120301465447302
R3_Bottom2,10,3,0.008573268770427167,0.0053255851164302,0.0051765984153714,0.010346097298484451
R3_Bottom2,11,2,0.0226847892942193,0.0226847892942193,0.0223478056349671,0.0230217729534715
