rule_type,ci_width_mean,ci_width_median,ci_width_std,ci_width_p25,ci_width_p75,cv_mean,cv_median,cv_std,cv_p25,cv_p75,n_obs
R1_Rank,0.018777659077721772,0.0150737689850731,0.013055445408902303,0.009239616416909076,0.024520034584250474,0.02839319195268824,0.02640528773577355,0.015859540969633556,0.015288968518566249,0.03456121603466963,78
R2_Percent,0.04623164163357086,0.0392733636430245,0.0229846150618401,0.02924309272035,0.0587177327634377,0.09942882023449101,0.0984337544093872,0.012642976106238907,0.0901718140825303,0.1080367971657524,1997
R3_Bottom2,0.008685313102352099,0.00674894674449895,0.007001524383397241,0.004549102105124475,0.009977322100688524,0.022474337262464266,0.01783624569376075,0.01279142591933267,0.012433950864149876,0.031605264624756824,702
