Factor,H-statistic,p-value,η²,n_groups
season,1546.7682168308752,1.5391790047986966e-304,0.4222065887946877,34
rule_type,1513.8020548984816,0.0,0.4068814125817592,3
eliminated_end_of_week,,1.6367123652885864e-20,0.33114595527416424,2
week,329.3081787269511,9.734881906106589e-65,0.22455948658465938,11
celebrity_industry,237.32986888022447,1.126112903046736e-39,0.07245656476370235,20
