share_quartile,pV_mean_avg,ci_width_mean,ci_width_median,cv_mean,cv_median,n_obs
Q1 (lowest),0.06868445586935334,0.01804927914447221,0.0205698740751816,0.06970877811684811,0.0854658243236023,695
Q2,0.08810511622244004,0.027294985906294915,0.03101289658779155,0.08200670720743927,0.0948030048084183,694
Q3,0.11416352288056379,0.03458666289813673,0.04157100541496475,0.08030480966130556,0.10142217808198115,694
Q4 (highest),0.21165686978863782,0.0639715018335313,0.06839299986044445,0.07991241245060487,0.09199072022294216,694
