status,ci_width_mean,ci_width_median,ci_width_std,cv_mean,cv_median,cv_std,n_obs
Not Eliminated,0.037529680475666786,0.03336467448976345,0.0267103612077735,0.07799221945046858,0.0929748266202387,0.03766226871096236,2484
Eliminated,0.022739280705113215,0.0208341476584295,0.009982139575929059,0.07787827516680612,0.0875818243158254,0.026457549107199947,293
