celebrity_name,season,premiere_date,window_start,window_end,wiki_article,wiki_status,wiki_mean_5y,wiki_sum_5y,wiki_median_5y,wiki_std_5y,wiki_p95_5y,wiki_max_5y,wiki_nonzero_days_5y,wiki_days_5y
Carlos PenaVega,21,2015-09-14,2010-09-14,2015-09-13,Carlos_PenaVega,pageviews_partial_unavailable_pre20150701,,,,,,,,
Victor Espinoza,21,2015-09-14,2010-09-14,2015-09-13,Victor_Espinoza,pageviews_partial_unavailable_pre20150701,,,,,,,,
Alek Skarlatos,21,2015-09-14,2010-09-14,2015-09-13,Alek_Skarlatos,pageviews_partial_unavailable_pre20150701,,,,,,,,
Chaka Khan,21,2015-09-14,2010-09-14,2015-09-13,Chaka_Khan,pageviews_partial_unavailable_pre20150701,,,,,,,,
Andy Grammer,21,2015-09-14,2010-09-14,2015-09-13,Andy_Grammer,pageviews_partial_unavailable_pre20150701,,,,,,,,
Tamar Braxton,21,2015-09-14,2010-09-14,2015-09-13,Tamar_Braxton,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nick Carter,21,2015-09-14,2010-09-14,2015-09-13,Nick_Carter,pageviews_partial_unavailable_pre20150701,,,,,,,,
Hayes Grier,21,2015-09-14,2010-09-14,2015-09-13,Hayes_Grier,pageviews_partial_unavailable_pre20150701,,,,,,,,
Bindi Irwin,21,2015-09-14,2010-09-14,2015-09-13,Bindi_Irwin,pageviews_partial_unavailable_pre20150701,,,,,,,,
Kim Zolciak-Biermann,21,2015-09-14,2010-09-14,2015-09-13,Kim_Zolciak,pageviews_partial_unavailable_pre20150701,,,,,,,,
Paula Deen,21,2015-09-14,2010-09-14,2015-09-13,Paula_Deen,pageviews_partial_unavailable_pre20150701,,,,,,,,
Mischa Barton,22,2016-03-21,2011-03-21,2016-03-20,Mischa_Barton,pageviews_partial_unavailable_pre20150701,,,,,,,,
Kim Fields,22,2016-03-21,2011-03-21,2016-03-20,Kim_Fields,pageviews_partial_unavailable_pre20150701,,,,,,,,
Jodie Sweetin,22,2016-03-21,2011-03-21,2016-03-20,Jodie_Sweetin,pageviews_partial_unavailable_pre20150701,,,,,,,,
Doug Flutie,22,2016-03-21,2011-03-21,2016-03-20,Doug_Flutie,pageviews_partial_unavailable_pre20150701,,,,,,,,
Von Miller,22,2016-03-21,2011-03-21,2016-03-20,Von_Miller,pageviews_partial_unavailable_pre20150701,,,,,,,,
Antonio Brown,22,2016-03-21,2011-03-21,2016-03-20,Antonio_Brown,pageviews_partial_unavailable_pre20150701,,,,,,,,
Paige VanZant,22,2016-03-21,2011-03-21,2016-03-20,Paige_VanZant,pageviews_partial_unavailable_pre20150701,,,,,,,,
Geraldo Rivera,22,2016-03-21,2011-03-21,2016-03-20,Geraldo_Rivera,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nyle DiMarco,22,2016-03-21,2011-03-21,2016-03-20,Nyle_DiMarco,pageviews_partial_unavailable_pre20150701,,,,,,,,
Ginger Zee,22,2016-03-21,2011-03-21,2016-03-20,Ginger_Zee,pageviews_partial_unavailable_pre20150701,,,,,,,,
Wanya Morris,22,2016-03-21,2011-03-21,2016-03-20,Wanya_Morris,pageviews_partial_unavailable_pre20150701,,,,,,,,
Marla Maples,22,2016-03-21,2011-03-21,2016-03-20,Marla_Maples,pageviews_partial_unavailable_pre20150701,,,,,,,,
Jake T. Austin,23,2016-09-12,2011-09-12,2016-09-11,Jake_T._Austin,pageviews_partial_unavailable_pre20150701,,,,,,,,
Maureen McCormick,23,2016-09-12,2011-09-12,2016-09-11,Maureen_McCormick,pageviews_partial_unavailable_pre20150701,,,,,,,,
Marilu Henner,23,2016-09-12,2011-09-12,2016-09-11,Marilu_Henner,pageviews_partial_unavailable_pre20150701,,,,,,,,
Ryan Lochte,23,2016-09-12,2011-09-12,2016-09-11,Ryan_Lochte,pageviews_partial_unavailable_pre20150701,,,,,,,,
Calvin Johnson Jr.,23,2016-09-12,2011-09-12,2016-09-11,Calvin_Johnson,pageviews_partial_unavailable_pre20150701,,,,,,,,
Laurie Hernandez,23,2016-09-12,2011-09-12,2016-09-11,Laurie_Hernandez,pageviews_partial_unavailable_pre20150701,,,,,,,,
Amber Rose,23,2016-09-12,2011-09-12,2016-09-11,Amber_Rose,pageviews_partial_unavailable_pre20150701,,,,,,,,
Rick Perry,23,2016-09-12,2011-09-12,2016-09-11,Rick_Perry,pageviews_partial_unavailable_pre20150701,,,,,,,,
James Hinchcliffe,23,2016-09-12,2011-09-12,2016-09-11,James_Hinchcliffe,pageviews_partial_unavailable_pre20150701,,,,,,,,
Babyface,23,2016-09-12,2011-09-12,2016-09-11,Babyface_(musician),pageviews_partial_unavailable_pre20150701,,,,,,,,
Vanilla Ice,23,2016-09-12,2011-09-12,2016-09-11,Vanilla_Ice,pageviews_partial_unavailable_pre20150701,,,,,,,,
Jana Kramer,23,2016-09-12,2011-09-12,2016-09-11,Jana_Kramer,pageviews_partial_unavailable_pre20150701,,,,,,,,
Terra Jole,23,2016-09-12,2011-09-12,2016-09-11,Terra_Jolé,pageviews_partial_unavailable_pre20150701,,,,,,,,
Charo,24,2017-03-20,2012-03-20,2017-03-19,Charo,pageviews_partial_unavailable_pre20150701,,,,,,,,
Mr. T,24,2017-03-20,2012-03-20,2017-03-19,Mr._T,pageviews_partial_unavailable_pre20150701,,,,,,,,
Heather Morris,24,2017-03-20,2012-03-20,2017-03-19,Heather_Morris,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nancy Kerrigan,24,2017-03-20,2012-03-20,2017-03-19,Nancy_Kerrigan,pageviews_partial_unavailable_pre20150701,,,,,,,,
Bonner Bolton,24,2017-03-20,2012-03-20,2017-03-19,Bonner_Bolton,pageviews_partial_unavailable_pre20150701,,,,,,,,
Simone Biles,24,2017-03-20,2012-03-20,2017-03-19,Simone_Biles,pageviews_partial_unavailable_pre20150701,,,,,,,,
David Ross,24,2017-03-20,2012-03-20,2017-03-19,Adin_Ross,pageviews_partial_unavailable_pre20150701,,,,,,,,
Rashad Jennings,24,2017-03-20,2012-03-20,2017-03-19,Rashad_Jennings,pageviews_partial_unavailable_pre20150701,,,,,,,,
Chris Kattan,24,2017-03-20,2012-03-20,2017-03-19,Chris_Kattan,pageviews_partial_unavailable_pre20150701,,,,,,,,
Erika Jayne,24,2017-03-20,2012-03-20,2017-03-19,Erika_Jayne,pageviews_partial_unavailable_pre20150701,,,,,,,,
Normani,24,2017-03-20,2012-03-20,2017-03-19,Normani,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nick Viall,24,2017-03-20,2012-03-20,2017-03-19,Nick_Viall,pageviews_partial_unavailable_pre20150701,,,,,,,,
Sasha Pieterse,25,2017-09-18,2012-09-18,2017-09-17,Sasha_Pieterse,pageviews_partial_unavailable_pre20150701,,,,,,,,
Frankie Muniz,25,2017-09-18,2012-09-18,2017-09-17,Frankie_Muniz,pageviews_partial_unavailable_pre20150701,,,,,,,,
Jordan Fisher,25,2017-09-18,2012-09-18,2017-09-17,Jordan_Fisher,pageviews_partial_unavailable_pre20150701,,,,,,,,
Derek Fisher,25,2017-09-18,2012-09-18,2017-09-17,Derek_Fisher,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nikki Bella,25,2017-09-18,2012-09-18,2017-09-17,Nikki_Bella,pageviews_partial_unavailable_pre20150701,,,,,,,,
Terrell Owens,25,2017-09-18,2012-09-18,2017-09-17,Terrell_Owens,pageviews_partial_unavailable_pre20150701,,,,,,,,
Victoria Arlen,25,2017-09-18,2012-09-18,2017-09-17,Victoria_Arlen,pageviews_partial_unavailable_pre20150701,,,,,,,,
Barbara Corcoran,25,2017-09-18,2012-09-18,2017-09-17,Barbara_Corcoran,pageviews_partial_unavailable_pre20150701,,,,,,,,
Lindsey Stirling,25,2017-09-18,2012-09-18,2017-09-17,Lindsey_Stirling,pageviews_partial_unavailable_pre20150701,,,,,,,,
Debbie Gibson,25,2017-09-18,2012-09-18,2017-09-17,Debbie_Gibson,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nick Lachey,25,2017-09-18,2012-09-18,2017-09-17,Nick_Lachey,pageviews_partial_unavailable_pre20150701,,,,,,,,
Drew Scott,25,2017-09-18,2012-09-18,2017-09-17,Drew_Scott,pageviews_partial_unavailable_pre20150701,,,,,,,,
Vanessa Lachey,25,2017-09-18,2012-09-18,2017-09-17,Vanessa_Lachey,pageviews_partial_unavailable_pre20150701,,,,,,,,
Jamie Anderson,26,2018-09-24,2013-09-24,2018-09-23,Jamie_Anderson_(snowboarder),pageviews_partial_unavailable_pre20150701,,,,,,,,
Johnny Damon,26,2018-09-24,2013-09-24,2018-09-23,Johnny_Damon,pageviews_partial_unavailable_pre20150701,,,,,,,,
Kareem Abdul-Jabbar,26,2018-09-24,2013-09-24,2018-09-23,Kareem_Abdul-Jabbar,pageviews_partial_unavailable_pre20150701,,,,,,,,
Arike Ogunbowale,26,2018-09-24,2013-09-24,2018-09-23,Arike_Ogunbowale,pageviews_partial_unavailable_pre20150701,,,,,,,,
Jennie Finch Daigle,26,2018-09-24,2013-09-24,2018-09-23,Casey_Daigle,pageviews_partial_unavailable_pre20150701,,,,,,,,
Chris Mazdzer,26,2018-09-24,2013-09-24,2018-09-23,Chris_Mazdzer,pageviews_partial_unavailable_pre20150701,,,,,,,,
Mirai Nagasu,26,2018-09-24,2013-09-24,2018-09-23,Mirai_Nagasu,pageviews_partial_unavailable_pre20150701,,,,,,,,
Tonya Harding,26,2018-09-24,2013-09-24,2018-09-23,Tonya_Harding,pageviews_partial_unavailable_pre20150701,,,,,,,,
Josh Norman,26,2018-09-24,2013-09-24,2018-09-23,Josh_Norman,pageviews_partial_unavailable_pre20150701,,,,,,,,
Adam Rippon,26,2018-09-24,2013-09-24,2018-09-23,Adam_Rippon,pageviews_partial_unavailable_pre20150701,,,,,,,,
Juan Pablo Di Pace,27,2019-09-16,2014-09-16,2019-09-15,Juan_Pablo_Di_Pace,pageviews_partial_unavailable_pre20150701,,,,,,,,
Evanna Lynch,27,2019-09-16,2014-09-16,2019-09-15,Evanna_Lynch,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nancy McKeon,27,2019-09-16,2014-09-16,2019-09-15,Nancy_McKeon,pageviews_partial_unavailable_pre20150701,,,,,,,,
John Schneider,27,2019-09-16,2014-09-16,2019-09-15,John_Schneider_(screen_actor),pageviews_partial_unavailable_pre20150701,,,,,,,,
Milo Manheim,27,2019-09-16,2014-09-16,2019-09-15,Milo_Manheim,pageviews_partial_unavailable_pre20150701,,,,,,,,
Danelle Umstead,27,2019-09-16,2014-09-16,2019-09-15,Danelle_Umstead,pageviews_partial_unavailable_pre20150701,,,,,,,,
Mary Lou Retton,27,2019-09-16,2014-09-16,2019-09-15,Mary_Lou_Retton,pageviews_partial_unavailable_pre20150701,,,,,,,,
DeMarcus Ware,27,2019-09-16,2014-09-16,2019-09-15,DeMarcus_Ware,pageviews_partial_unavailable_pre20150701,,,,,,,,
Nikki Glaser,27,2019-09-16,2014-09-16,2019-09-15,Nikki_Glaser,pageviews_partial_unavailable_pre20150701,,,,,,,,
Bobby Bones,27,2019-09-16,2014-09-16,2019-09-15,Bobby_Bones,pageviews_partial_unavailable_pre20150701,,,,,,,,
Tinashe,27,2019-09-16,2014-09-16,2019-09-15,Tinashe,pageviews_partial_unavailable_pre20150701,,,,,,,,
Alexis Ren,27,2019-09-16,2014-09-16,2019-09-15,Alexis_Ren,pageviews_partial_unavailable_pre20150701,,,,,,,,
Joe Amabile,27,2019-09-16,2014-09-16,2019-09-15,Joe_Amabile,pageviews_partial_unavailable_pre20150701,,,,,,,,
Kate Flannery,28,2019-09-16,2014-09-16,2019-09-15,Kate_Flannery,pageviews_partial_unavailable_pre20150701,,,,,,,,
James Van Der Beek,28,2019-09-16,2014-09-16,2019-09-15,James_Van_Der_Beek,pageviews_partial_unavailable_pre20150701,,,,,,,,
Kel Mitchell,28,2019-09-16,2014-09-16,2019-09-15,Kel_Mitchell,pageviews_partial_unavailable_pre20150701,,,,,,,,
Ray Lewis,28,2019-09-16,2014-09-16,2019-09-15,Ray_Lewis,pageviews_partial_unavailable_pre20150701,,,,,,,,
Lamar Odom,28,2019-09-16,2014-09-16,2019-09-15,Lamar_Odom,pageviews_partial_unavailable_pre20150701,,,,,,,,
Sailor Brinkley-Cook,28,2019-09-16,2014-09-16,2019-09-15,Sailor_Brinkley_Cook,pageviews_partial_unavailable_pre20150701,,,,,,,,
Sean Spicer,28,2019-09-16,2014-09-16,2019-09-15,Sean_Spicer,pageviews_partial_unavailable_pre20150701,,,,,,,,
Mary Wilson,28,2019-09-16,2014-09-16,2019-09-15,Mary_Wilson_(singer),pageviews_partial_unavailable_pre20150701,,,,,,,,
Lauren Alaina,28,2019-09-16,2014-09-16,2019-09-15,Lauren_Alaina,pageviews_partial_unavailable_pre20150701,,,,,,,,
Ally Brooke,28,2019-09-16,2014-09-16,2019-09-15,Ally_Brooke,pageviews_partial_unavailable_pre20150701,,,,,,,,
Karamo Brown,28,2019-09-16,2014-09-16,2019-09-15,Karamo_Brown,pageviews_partial_unavailable_pre20150701,,,,,,,,
Hannah Brown,28,2019-09-16,2014-09-16,2019-09-15,Hannah_Brown,pageviews_partial_unavailable_pre20150701,,,,,,,,
Anne Heche,29,2020-09-14,2015-09-14,2020-09-13,Anne_Heche,ok,3709.975916803503,6778126.0,3235.0,2167.702109149739,6823.099999999998,31727.0,1827.0,1827.0
Jesse Metcalfe,29,2020-09-14,2015-09-14,2020-09-13,Jesse_Metcalfe,ok,2043.1423097974823,3732821.0,1548.0,2470.2668116952527,4348.499999999999,75434.0,1827.0,1827.0
Chrishell Stause,29,2020-09-14,2015-09-14,2020-09-13,Chrishell_Stause,ok,2736.016420361248,4998702.0,1098.0,6099.305231258261,9455.799999999997,73749.0,1827.0,1827.0
Skai Jackson,29,2020-09-14,2015-09-14,2020-09-13,Skai_Jackson,ok,1791.608100711549,3273268.0,1372.0,2512.917099265973,3364.9999999999945,61500.0,1827.0,1827.0
Justina Machado,29,2020-09-14,2015-09-14,2020-09-13,Justina_Machado,ok,1163.7695675971538,2126207.0,908.0,1235.7129473407178,2970.8999999999915,12209.0,1827.0,1827.0
Charles Oakley,29,2020-09-14,2015-09-14,2020-09-13,Charles_Oakley,ok,1088.9868637110017,1989579.0,454.0,7570.040971318157,2204.7,282600.0,1827.0,1827.0
Veron Davis,29,2020-09-14,2015-09-14,2020-09-13,Juan_Sebastián_Verón,ok,710.8741105637657,1298767.0,549.0,750.0978527829226,1519.699999999998,20772.0,1827.0,1827.0
Johnny Weir,29,2020-09-14,2015-09-14,2020-09-13,Johnny_Weir,ok,2054.134646962233,3752904.0,508.0,12470.685028623291,3454.7999999999956,242189.0,1827.0,1827.0
Nev Schulman,29,2020-09-14,2015-09-14,2020-09-13,Nev_Schulman,ok,1582.5867542419267,2891386.0,1335.0,1010.4923025368824,3125.4999999999973,18223.0,1827.0,1827.0
AJ McLean,29,2020-09-14,2015-09-14,2020-09-13,AJ_McLean,ok,1296.34282584885,2367122.0,1175.0,1857.1025235024115,3200.5,41208.0,1825.0,1826.0
Nelly,29,2020-09-14,2015-09-14,2020-09-13,Nelly,ok,2652.8604269293924,4846776.0,2482.0,1378.673074683631,3611.0,32881.0,1827.0,1827.0
Kaitlyn Bristowe,29,2020-09-14,2015-09-14,2020-09-13,Kaitlyn_Bristowe,ok,771.7411056376574,1409971.0,527.0,1538.014748456999,1916.6999999999962,56400.0,1827.0,1827.0
Carole Baskin,29,2020-09-14,2015-09-14,2020-09-13,Carole_Baskin,ok,46860.46242774567,8106860.0,9207.0,87061.99651789588,297864.2,368418.0,173.0,173.0
Monica Aldama,29,2020-09-14,2015-09-14,2020-09-13,Monica_Aldama,ok,876.0720338983051,206753.0,318.5,1180.7244432604978,3739.0,6314.0,236.0,236.0
Jeannie Mai,29,2020-09-14,2015-09-14,2020-09-13,Jeannie_Mai,ok,1763.449370552819,3221822.0,1440.0,1611.2781377022084,3456.7999999999956,24054.0,1827.0,1827.0
Martin Kove,30,2021-09-20,2016-09-20,2021-09-19,Martin_Kove,ok,1881.684008762322,3435955.0,821.0,4120.04415821577,6342.75,50881.0,1826.0,1826.0
Brian Austin Green,30,2021-09-20,2016-09-20,2021-09-19,Brian_Austin_Green,ok,4587.318729463308,8376444.0,3131.0,6352.276500734601,10872.25,173155.0,1826.0,1826.0
Melora Hardin,30,2021-09-20,2016-09-20,2021-09-19,Melora_Hardin,ok,2586.9934282584886,4723850.0,2382.5,1093.1245418166052,4333.0,19040.0,1826.0,1826.0
Matt James,30,2021-09-20,2016-09-20,2021-09-19,Matt_James_(television_personality),ok,1261.1948051948052,582672.0,349.0,4586.851103821774,4827.799999999999,76133.0,461.0,462.0
"Mike ""The Miz"" Mizanin",30,2021-09-20,2016-09-20,2021-09-19,The_Miz,ok,3507.1927710843374,6404134.0,2751.0,2898.6186760239507,7782.5,56702.0,1826.0,1826.0
Suni Lee,30,2021-09-20,2016-09-20,2021-09-19,Sunisa_Lee,ok,2242.0196078431372,2286860.0,103.0,22795.369532283108,3666.149999999996,541258.0,1020.0,1020.0
Iman Shumpert,30,2021-09-20,2016-09-20,2021-09-19,Iman_Shumpert,ok,1917.2026286966045,3500812.0,1395.5,1792.2163252609805,4431.25,26064.0,1826.0,1826.0
Cody Rigsby,30,2021-09-20,2016-09-20,2021-09-19,Cody_Rigsby,ok,274.0,822.0,319.0,119.04900951568924,384.7,392.0,3.0,3.0
Melanie C,30,2021-09-20,2016-09-20,2021-09-19,Melanie_C,ok,2550.9835706462213,4658096.0,2072.5,2202.680438135539,4680.75,42691.0,1826.0,1826.0
Jimmie Allen,30,2021-09-20,2016-09-20,2021-09-19,Jimmie_Allen,ok,727.7084048027444,848508.0,359.0,2488.7628080291597,1621.5,58673.0,1166.0,1166.0
Olivia Jade,30,2021-09-20,2016-09-20,2021-09-19,Olivia_Jade,ok,1981.5157437567862,1824976.0,1074.0,3434.013060280604,6550.0,37153.0,921.0,921.0
JoJo Siwa,30,2021-09-20,2016-09-20,2021-09-19,JoJo_Siwa,ok,7421.325301204819,13551340.0,6037.5,9297.989336309338,17214.0,201219.0,1826.0,1826.0
Christine Chiu,30,2021-09-20,2016-09-20,2021-09-19,Bling_Empire,ok,2120.491666666667,508918.0,629.5,5014.250039463916,7911.449999999994,39352.0,240.0,240.0
Kenya Moore,30,2021-09-20,2016-09-20,2021-09-19,Kenya_Moore,ok,1122.0843373493976,2048926.0,913.0,813.5143101785645,2403.5,12240.0,1826.0,1826.0
Amanda Kloots,30,2021-09-20,2016-09-20,2021-09-19,Amanda_Kloots,ok,1553.5298013245033,469166.0,1117.5,1465.1286850244305,4407.949999999999,11449.0,302.0,302.0
Jason Lewis,31,2022-09-19,2017-09-19,2022-09-18,Jason_Lewis_(actor),ok,733.10569550931,1338651.0,610.0,583.5342186519736,1410.0,11873.0,1826.0,1826.0
Cheryl Ladd,31,2022-09-19,2017-09-19,2022-09-18,Cheryl_Ladd,ok,1790.1336254107339,3268784.0,1561.0,996.9921652370347,3116.75,14594.0,1826.0,1826.0
Selma Blair,31,2022-09-19,2017-09-19,2022-09-18,Selma_Blair,ok,5367.65443592552,9801337.0,3648.0,9806.69933807599,12729.5,211604.0,1826.0,1826.0
Joseph Baena,31,2022-09-19,2017-09-19,2022-09-18,Joseph_Baena,ok,39.7907995618839,72658.0,22.0,151.73378443586407,76.0,4533.0,1804.0,1826.0
Trevor Donovan,31,2022-09-19,2017-09-19,2022-09-18,Trevor_Donovan,ok,752.737677984666,1374499.0,479.5,978.1748487321115,2100.75,15604.0,1826.0,1826.0
Daniel Durant,31,2022-09-19,2017-09-19,2022-09-18,Daniel_Durant,ok,379.25958378970427,692528.0,33.0,1839.2892710038998,1569.75,58889.0,1826.0,1826.0
Wayne Brady,31,2022-09-19,2017-09-19,2022-09-18,Wayne_Brady,ok,3066.905257393209,5600169.0,2335.0,3966.5617151913093,6120.25,124476.0,1826.0,1826.0
Sam Champion,31,2022-09-19,2017-09-19,2022-09-18,Sam_Champion,ok,384.9983570646221,703007.0,232.0,623.9740692522108,1203.25,9501.0,1826.0,1826.0
Jessie James Decker,31,2022-09-19,2017-09-19,2022-09-18,Jessie_James_Decker,ok,1622.053121577218,2961869.0,1045.0,1956.5288500834242,4388.75,25162.0,1826.0,1826.0
Jordin Sparks,31,2022-09-19,2017-09-19,2022-09-18,Jordin_Sparks,ok,1866.709200438116,3408611.0,1553.0,1561.6815544242825,3351.0,36117.0,1826.0,1826.0
Heidi D'Amelio,31,2022-09-19,2017-09-19,2022-09-18,Charli_D'Amelio,ok,11343.322314049587,10980336.0,10235.0,7690.07272057726,22966.85,77275.0,968.0,968.0
Charli D'Amelio,31,2022-09-19,2017-09-19,2022-09-18,Charli_D'Amelio,ok,11343.322314049587,10980336.0,10235.0,7690.07272057726,22966.85,77275.0,968.0,968.0
Teresa Giudice,31,2022-09-19,2017-09-19,2022-09-18,Teresa_Giudice,ok,1484.6259583789704,2710927.0,1136.5,1294.5776835372992,3405.25,18319.0,1826.0,1826.0
Vinny Guadagnino,31,2022-09-19,2017-09-19,2022-09-18,Vinny_Guadagnino,ok,1330.5460021905806,2429577.0,974.5,1425.5276501701678,3378.75,33471.0,1826.0,1826.0
Shangela,31,2022-09-19,2017-09-19,2022-09-18,Shangela,ok,499.859649122807,911744.0,489.5,468.70942050678553,1100.9499999999994,9341.0,1817.0,1824.0
Gabby Windey,31,2022-09-19,2017-09-19,2022-09-18,Gabby_Windey,ok,995.9278350515464,193210.0,198.0,1880.9433104323641,5078.999999999995,13199.0,194.0,194.0
Jamie Lynn Spears,32,2023-09-26,2018-09-26,2023-09-25,Jamie_Lynn_Spears,ok,4259.295180722892,7777473.0,2808.5,4587.942298269996,12313.75,76369.0,1826.0,1826.0
Mira Sorvino,32,2023-09-26,2018-09-26,2023-09-25,Mira_Sorvino,ok,3571.0602409638554,6520756.0,2817.5,6884.189637626071,6079.5,204427.0,1826.0,1826.0
Barry Williams,32,2023-09-26,2018-09-26,2023-09-25,Barry_Williams_(actor),ok,1159.0553121577218,2116435.0,742.0,2424.0998498051927,2359.25,65091.0,1826.0,1826.0
Alyson Hannigan,32,2023-09-26,2018-09-26,2023-09-25,Alyson_Hannigan,ok,4118.532311062431,7520440.0,3811.0,1349.58144146169,6406.75,19498.0,1826.0,1826.0
Xochitl Gomez,32,2023-09-26,2018-09-26,2023-09-25,Xochitl_Gomez,ok,3241.5902712815714,3465260.0,1434.0,8161.533868206914,9819.799999999992,112842.0,1068.0,1069.0
Adrian Peterson,32,2023-09-26,2018-09-26,2023-09-25,Adrian_Peterson,ok,2774.0043811610076,5065332.0,1827.5,4810.044428613753,6285.5,102683.0,1826.0,1826.0
Matt Walsh,32,2023-09-26,2018-09-26,2023-09-25,Matt_Walsh_(political_commentator),ok,3679.1720588235294,2501837.0,3047.5,2933.458808418806,9106.55,22348.0,680.0,680.0
Tyson Beckford,32,2023-09-26,2018-09-26,2023-09-25,Tyson_Beckford,ok,709.5366922234392,1295614.0,605.0,777.5011416161839,1157.25,27915.0,1826.0,1826.0
Jason Mraz,32,2023-09-26,2018-09-26,2023-09-25,Jason_Mraz,ok,1293.7519167579408,2362391.0,1106.5,1236.3377916489108,2210.75,38094.0,1826.0,1826.0
Lele Pons,32,2023-09-26,2018-09-26,2023-09-25,Lele_Pons,ok,1972.067360350493,3600995.0,1413.5,4462.408634812556,3841.5,122500.0,1826.0,1826.0
Harry Jowsey,32,2023-09-26,2018-09-26,2023-09-25,Harry_Jowsey,ok,1076.6153846153845,13996.0,752.0,1008.8700868154461,2758.5999999999963,4291.0,13.0,13.0
Mauricio Umansky,32,2023-09-26,2018-09-26,2023-09-25,Mauricio_Umansky,ok,261.08,26108.0,156.0,381.64422385253,807.2999999999998,3095.0,100.0,100.0
Charity Lawson,32,2023-09-26,2018-09-26,2023-09-25,The_Bachelorette_(American_TV_series)_season_20,pageviews_404,,,,,,,,
Ariana Madix,32,2023-09-26,2018-09-26,2023-09-25,Ariana_Madix,ok,440.0806805708013,801827.0,159.0,1111.522831531787,2020.5499999999984,20593.0,1804.0,1822.0
Tori Spelling,33,2024-09-17,2019-09-17,2024-09-16,Tori_Spelling,ok,2409.685276409414,4402495.0,1979.0,1849.0462051164877,4571.7,35783.0,1827.0,1827.0
Eric Roberts,33,2024-09-17,2019-09-17,2024-09-16,Eric_Roberts,ok,4960.050355774493,9062012.0,4502.0,2070.951077735802,7966.999999999998,29731.0,1827.0,1827.0
Reginald VelJohnson,33,2024-09-17,2019-09-17,2024-09-16,Reginald_VelJohnson,ok,1706.3743842364531,3117546.0,1287.0,1482.404325218673,3795.599999999995,29261.0,1827.0,1827.0
Chandler Kinney,33,2024-09-17,2019-09-17,2024-09-16,Chandler_Kinney,ok,1215.25,14583.0,955.0,613.7840452200323,2254.249999999999,2785.0,12.0,12.0
Dwight Howard,33,2024-09-17,2019-09-17,2024-09-16,Dwight_Howard,ok,4698.158730158731,8583536.0,3356.0,6129.318344777837,10247.699999999983,156420.0,1827.0,1827.0
Danny Amendola,33,2024-09-17,2019-09-17,2024-09-16,Danny_Amendola,ok,1452.521072796935,2653756.0,845.0,2138.865114255207,4358.4,35515.0,1827.0,1827.0
Stephen Nedoroscik,33,2024-09-17,2019-09-17,2024-09-16,Stephen_Nedoroscik,ok,865.0906011854361,1021672.0,10.0,9795.405943332331,922.0,270294.0,1181.0,1181.0
Ilona Maher,33,2024-09-17,2019-09-17,2024-09-16,Ilona_Maher,ok,962.2349256068911,1228774.0,95.0,5975.975110749134,1458.4000000000005,92516.0,1276.0,1277.0
Anna Delvey,33,2024-09-17,2019-09-17,2024-09-16,Anna_Delvey,ok,317.27640941434043,579664.0,89.0,1524.2475662952538,589.1999999999989,28035.0,1827.0,1827.0
Brooks Nader,33,2024-09-17,2019-09-17,2024-09-16,Brooks_Nader,ok,364.37113402061857,176720.0,130.0,959.276337207125,1500.5999999999974,10662.0,485.0,485.0
Phaedra Parks,33,2024-09-17,2019-09-17,2024-09-16,Phaedra_Parks,ok,425.6874657909141,777731.0,296.0,641.6905766312651,1418.2999999999984,7548.0,1827.0,1827.0
Jenn Tran,33,2024-09-17,2019-09-17,2024-09-16,Jenn_Tran,ok,1580.1097560975609,259138.0,233.5,3517.8441794486052,5582.55,27283.0,146.0,164.0
Joey Graziadei,33,2024-09-17,2019-09-17,2024-09-16,Joey_Graziadei,ok,2056.888524590164,627351.0,670.0,4002.497833304351,8438.600000000002,42908.0,305.0,305.0
Corey Feldman,34,2025-03-04,2020-03-04,2025-03-03,Corey_Feldman,ok,5041.512595837897,9205802.0,4427.0,2898.849262400058,9157.25,58540.0,1826.0,1826.0
Danielle Fishel,34,2025-03-04,2020-03-04,2025-03-03,Danielle_Fishel,ok,2201.173603504929,4019343.0,1721.0,2988.328842433342,4290.0,99836.0,1826.0,1826.0
Elaine Hendrix,34,2025-03-04,2020-03-04,2025-03-03,Elaine_Hendrix,ok,1088.4901423877327,1987583.0,882.5,926.0191615624443,2238.75,26518.0,1826.0,1826.0
Baron Davis,34,2025-03-04,2020-03-04,2025-03-03,Baron_Davis,ok,649.8127053669223,1186558.0,543.0,407.1204062211624,1344.0,7436.0,1826.0,1826.0
Jordan Chiles,34,2025-03-04,2020-03-04,2025-03-03,Jordan_Chiles,ok,1295.7141292442498,2365974.0,141.0,8636.719141073354,2547.0,209643.0,1826.0,1826.0
Andy Richter,34,2025-03-04,2020-03-04,2025-03-03,Andy_Richter,ok,1080.8258488499453,1973588.0,928.0,785.486446492353,1745.75,18381.0,1826.0,1826.0
Robert Irwin,34,2025-03-04,2020-03-04,2025-03-03,Robert_Irwin_(conservationist),ok,721.8618784530387,130657.0,557.0,617.5102815121923,1679.0,4372.0,181.0,181.0
