name,t0,qid,awards_total,awards_dated,awards_pre_t0,award_date_coverage
Cody Simpson,2014-05-19,Q314319,0.0,0.0,0.0,0.0
Corbin Bleu,2013-11-25,Q4617,0.0,0.0,0.0,0.0
Corey Feldman,2025-11-25,Q375419,1.0,1.0,1.0,1.0
Cristian de la Fuente,2008-05-19,Q266788,1.0,0.0,0.0,0.0
D. L. Hughley,2013-05-20,Q536308,0.0,0.0,0.0,0.0
Danelle Umstead,2018-11-19,Q5215881,0.0,0.0,0.0,0.0
Danica McKellar,2014-05-19,Q242949,0.0,0.0,0.0,0.0
Daniel Durant,2022-11-21,Q22046533,1.0,1.0,1.0,1.0
Danielle Fishel,2025-11-25,Q129208,0.0,0.0,0.0,0.0
Danny Amendola,2024-11-26,Q3702263,0.0,0.0,0.0,0.0
David Alan Grier,2009-05-18,Q562596,2.0,1.0,1.0,0.5
David Arquette,2011-11-21,Q294185,0.0,0.0,0.0,0.0
David Hasselhoff,2010-11-22,Q201927,6.0,5.0,5.0,0.8333333333333334
David Ross,2017-05-22,Q111045274,0.0,0.0,0.0,0.0
DeMarcus Ware,2018-11-19,Q2761454,0.0,0.0,0.0,0.0
Debbie Gibson,2017-11-20,Q233817,0.0,0.0,0.0,0.0
Debi Mazar,2009-11-23,Q238671,0.0,0.0,0.0,0.0
Denise Richards,2009-05-18,Q206833,0.0,0.0,0.0,0.0
Derek Fisher,2017-11-20,Q105670147,0.0,0.0,0.0,0.0
Diana Nyad,2014-05-19,Q5271254,2.0,2.0,1.0,1.0
Donald Driver,2012-05-21,Q1093571,0.0,0.0,0.0,0.0
Donny Osmond,2009-11-23,Q386053,0.0,0.0,0.0,0.0
Dorothy Hamill,2013-05-20,Q262573,2.0,1.0,1.0,0.5
Doug Flutie,2016-05-23,Q1251736,3.0,0.0,0.0,0.0
Drew Carey,2014-05-19,Q357402,6.0,6.0,6.0,1.0
Drew Lachey,2012-11-26,Q5307215,0.0,0.0,0.0,0.0
Drew Scott,2017-11-20,Q108052859,0.0,0.0,0.0,0.0
Dwight Howard,2024-11-26,Q25278,14.0,14.0,13.0,1.0
Dylan Efron,2025-11-25,Q104902550,0.0,0.0,0.0,0.0
Elaine Hendrix,2025-11-25,Q271620,0.0,0.0,0.0,0.0
Elisabetta Canalis,2011-11-21,Q287122,0.0,0.0,0.0,0.0
Elizabeth Berkley Lauren,2013-11-25,Q129831,3.0,2.0,2.0,0.6666666666666666
Emmitt Smith,2012-11-26,Q1338802,3.0,0.0,0.0,0.0
Eric Roberts,2024-11-26,Q207969,1.0,1.0,1.0,1.0
Erika Jayne,2017-05-22,Q867257,0.0,0.0,0.0,0.0
Erin Andrews,2010-05-24,Q2743544,0.0,0.0,0.0,0.0
Evan Lysacek,2010-05-24,Q299225,0.0,0.0,0.0,0.0
Evander Holyfield,2005-07-06,Q313451,2.0,1.0,0.0,0.5
Evanna Lynch,2018-11-19,Q211730,0.0,0.0,0.0,0.0
Florence Henderson,2010-11-22,Q452749,2.0,0.0,0.0,0.0
Floyd Mayweather Jr.,2007-11-26,Q318204,3.0,2.0,0.0,0.6666666666666666
Frankie Muniz,2017-11-20,Q310275,0.0,0.0,0.0,0.0
Gabby Windey,2022-11-21,Q111171299,0.0,0.0,0.0,0.0
Gary Busey,2015-11-23,Q312081,0.0,0.0,0.0,0.0
Gavin DeGraw,2012-05-21,Q337722,0.0,0.0,0.0,0.0
George Hamilton,2006-02-23,Q359416,3.0,1.0,1.0,0.3333333333333333
Geraldo Rivera,2016-05-23,Q1368995,1.0,1.0,1.0,1.0
Gilles Marini,2012-11-26,Q181997,0.0,0.0,0.0,0.0
Ginger Zee,2016-05-23,Q5563073,0.0,0.0,0.0,0.0
Giselle Fernandez,2006-02-23,Q3107767,1.0,0.0,0.0,0.0
Gladys Knight,2012-05-21,Q235952,3.0,2.0,0.0,0.6666666666666666
Hannah Brown,2019-11-25,Q89158989,0.0,0.0,0.0,0.0
Harry Hamlin,2006-11-14,Q567830,0.0,0.0,0.0,0.0
Harry Jowsey,2023-12-05,Q124809467,0.0,0.0,0.0,0.0
Hayes Grier,2015-11-23,Q17411181,0.0,0.0,0.0,0.0
Heather Mills,2007-05-21,Q128805805,0.0,0.0,0.0,0.0
Heather Morris,2017-05-22,Q107148555,0.0,0.0,0.0,0.0
Heidi D'Amelio,2022-11-21,Q100791818,0.0,0.0,0.0,0.0
Helio Castroneves,2012-11-26,Q454058,0.0,0.0,0.0,0.0
Hilaria Baldwin,2025-11-25,Q24702913,0.0,0.0,0.0,0.0
Hines Ward,2011-05-23,Q482838,0.0,0.0,0.0,0.0
Holly Madison,2009-05-18,Q229948,0.0,0.0,0.0,0.0
Hope Solo,2011-11-21,Q229619,0.0,0.0,0.0,0.0
Ian Ziering,2007-05-21,Q352233,0.0,0.0,0.0,0.0
Ilona Maher,2024-11-26,Q106086464,0.0,0.0,0.0,0.0
Iman Shumpert,2021-11-22,Q716081,0.0,0.0,0.0,0.0
Ingo Rademacher,2013-05-20,Q6032887,0.0,0.0,0.0,0.0
J.R. Martinez,2011-11-21,Q3246618,0.0,0.0,0.0,0.0
Jack Osbourne,2013-11-25,Q108844845,0.0,0.0,0.0,0.0
Jack Wagner,2012-05-21,Q1293637,0.0,0.0,0.0,0.0
Jacoby Jones,2013-05-20,Q3805829,0.0,0.0,0.0,0.0
Jake Pavelka,2010-05-24,Q6124907,0.0,0.0,0.0,0.0
Jake T. Austin,2016-11-21,Q312521,0.0,0.0,0.0,0.0
